date,open,high,low,close,volume
1/2/1962,1.5364,1.5364,1.5191,1.5191,4063
1/3/1962,1.5191,1.5324,1.5191,1.5324,3047
1/4/1962,1.5324,1.5324,1.5164,1.5171,2735
1/5/1962,1.5151,1.5151,1.4845,1.4872,3828
1/8/1962,1.4859,1.4859,1.4474,1.4593,5703
1/9/1962,1.466,1.4952,1.466,1.4766,5157
1/10/1962,1.4793,1.4859,1.4793,1.4793,3125
1/11/1962,1.4833,1.4952,1.4833,1.4952,3360
1/12/1962,1.4978,1.5084,1.4978,1.4978,4609
1/15/1962,1.5032,1.5078,1.5032,1.5045,2656
1/16/1962,1.5032,1.5032,1.4886,1.4886,2656
1/17/1962,1.482,1.482,1.4607,1.4647,4375
1/18/1962,1.4686,1.4832,1.4686,1.4686,3906
1/19/1962,1.4686,1.4726,1.4526,1.4699,4219
1/22/1962,1.47,1.4846,1.466,1.4673,2891
1/23/1962,1.4666,1.4686,1.45,1.4527,3906
1/24/1962,1.4527,1.4607,1.4454,1.4607,4297
1/25/1962,1.4606,1.4726,1.442,1.4447,3359
1/26/1962,1.4447,1.45,1.4367,1.4374,2578
1/29/1962,1.4375,1.4474,1.4129,1.4129,6094
1/30/1962,1.4128,1.4208,1.3949,1.3949,7735
1/31/1962,1.4089,1.4394,1.4089,1.4394,7969
2/1/1962,1.454,1.4766,1.454,1.4726,6719
2/2/1962,1.4726,1.4819,1.466,1.4819,5313
2/5/1962,1.4819,1.4819,1.4553,1.4633,3281
2/6/1962,1.4634,1.466,1.458,1.4647,2735
2/7/1962,1.466,1.474,1.466,1.466,2656
2/8/1962,1.466,1.474,1.466,1.4673,234
2/9/1962,1.4673,1.4779,1.4606,1.4779,4531
2/12/1962,1.478,1.4899,1.4766,1.4793,2969
2/13/1962,1.4792,1.4805,1.4553,1.4553,2734
2/14/1962,1.4553,1.4607,1.45,1.4527,2188
2/15/1962,1.4527,1.4527,1.4461,1.4474,2422
2/16/1962,1.4474,1.4527,1.4461,1.4461,2344
2/19/1962,1.446,1.4526,1.4287,1.4314,2969
2/20/1962,1.4321,1.4394,1.4321,1.4321,3047
2/21/1962,1.4321,1.4421,1.4215,1.4215,3828
2/23/1962,1.4234,1.4288,1.4234,1.4261,3047
2/26/1962,1.4261,1.4275,1.4181,1.4208,3125
2/27/1962,1.4208,1.4328,1.4129,1.4235,3672
2/28/1962,1.4234,1.4261,1.4155,1.4261,2813
3/1/1962,1.4314,1.4434,1.4314,1.4434,2969
3/2/1962,1.4553,1.4633,1.4553,1.4553,2578
3/5/1962,1.4553,1.4553,1.4447,1.45,3750
3/6/1962,1.4501,1.4567,1.4474,1.4514,1953
3/7/1962,1.4514,1.456,1.4474,1.456,1328
3/8/1962,1.456,1.4593,1.4474,1.4593,1953
3/9/1962,1.4606,1.4686,1.4606,1.4686,3047
3/12/1962,1.4686,1.4726,1.4633,1.4673,2969
3/13/1962,1.4673,1.4673,1.4607,1.466,1328
3/14/1962,1.466,1.4699,1.4606,1.4633,2109
3/15/1962,1.4634,1.4713,1.4607,1.4607,2578
3/16/1962,1.4606,1.4673,1.4606,1.4673,1719
3/19/1962,1.47,1.4766,1.47,1.4713,3906
3/20/1962,1.4687,1.4687,1.462,1.462,1719
3/21/1962,1.462,1.466,1.458,1.4633,2734
3/22/1962,1.458,1.458,1.4474,1.4474,2500
3/23/1962,1.4487,1.4553,1.4487,1.4527,1953
3/26/1962,1.4527,1.458,1.45,1.452,1406
3/27/1962,1.4487,1.4487,1.4235,1.4248,3672
3/28/1962,1.4261,1.4368,1.4261,1.4328,3438
3/29/1962,1.4328,1.4394,1.4288,1.4288,2422
3/30/1962,1.4261,1.4261,1.4082,1.4148,4609
4/2/1962,1.4142,1.4142,1.3956,1.3956,3906
4/3/1962,1.3943,1.3943,1.3465,1.3611,9532
