date,open,high,low,close,volume
1962-01-02,1.5364,1.5364,1.5191,1.5191,4063
1962-01-03,1.5191,1.5324,1.5191,1.5324,3047
1962-01-04,1.5324,1.5324,1.5164,1.5171,2735
1962-01-05,1.5151,1.5151,1.4845,1.4872,3828
1962-01-08,1.4859,1.4859,1.4474,1.4593,5703
1962-01-09,1.466,1.4952,1.466,1.4766,5157
1962-01-10,1.4793,1.4859,1.4793,1.4793,3125
1962-01-11,1.4833,1.4952,1.4833,1.4952,3360
1962-01-12,1.4978,1.5084,1.4978,1.4978,4609
1962-01-15,1.5032,1.5078,1.5032,1.5045,2656
1962-01-16,1.5032,1.5032,1.4886,1.4886,2656
1962-01-17,1.482,1.482,1.4607,1.4647,4375
1962-01-18,1.4686,1.4832,1.4686,1.4686,3906
1962-01-19,1.4686,1.4726,1.4526,1.4699,4219
1962-01-22,1.47,1.4846,1.466,1.4673,2891
1962-01-23,1.4666,1.4686,1.45,1.4527,3906
1962-01-24,1.4527,1.4607,1.4454,1.4607,4297
1962-01-25,1.4606,1.4726,1.442,1.4447,3359
1962-01-26,1.4447,1.45,1.4367,1.4374,2578
1962-01-29,1.4375,1.4474,1.4129,1.4129,6094
1962-01-30,1.4128,1.4208,1.3949,1.3949,7735
1962-01-31,1.4089,1.4394,1.4089,1.4394,7969
1962-02-01,1.454,1.4766,1.454,1.4726,6719
1962-02-02,1.4726,1.4819,1.466,1.4819,5313
1962-02-05,1.4819,1.4819,1.4553,1.4633,3281
1962-02-06,1.4634,1.466,1.458,1.4647,2735
1962-02-07,1.466,1.474,1.466,1.466,2656
1962-02-08,1.466,1.474,1.466,1.4673,234
1962-02-09,1.4673,1.4779,1.4606,1.4779,4531
1962-02-12,1.478,1.4899,1.4766,1.4793,2969
1962-02-13,1.4792,1.4805,1.4553,1.4553,2734
1962-02-14,1.4553,1.4607,1.45,1.4527,2188
1962-02-15,1.4527,1.4527,1.4461,1.4474,2422
1962-02-16,1.4474,1.4527,1.4461,1.4461,2344
1962-02-19,1.446,1.4526,1.4287,1.4314,2969
1962-02-20,1.4321,1.4394,1.4321,1.4321,3047
1962-02-21,1.4321,1.4421,1.4215,1.4215,3828
1962-02-23,1.4234,1.4288,1.4234,1.4261,3047
1962-02-26,1.4261,1.4275,1.4181,1.4208,3125
1962-02-27,1.4208,1.4328,1.4129,1.4235,3672
1962-02-28,1.4234,1.4261,1.4155,1.4261,2813
1962-03-01,1.4314,1.4434,1.4314,1.4434,2969
1962-03-02,1.4553,1.4633,1.4553,1.4553,2578
1962-03-05,1.4553,1.4553,1.4447,1.45,3750
1962-03-06,1.4501,1.4567,1.4474,1.4514,1953
1962-03-07,1.4514,1.456,1.4474,1.456,1328
1962-03-08,1.456,1.4593,1.4474,1.4593,1953
